timestamp,bias_x,bias_y,bias_z
5693.42,0.419,-0.55,-0.739
5693.6,0.419,-0.55,-0.739
5693.79,0.419,-0.55,-0.739
5693.97,0.419,-0.55,-0.739
5694.15,0.419,-0.55,-0.739
5694.33,0.419,-0.55,-0.739
5694.51,0.425,-0.547,-0.741
5694.7,0.425,-0.547,-0.741
5694.88,0.425,-0.547,-0.741
5695.6,0.425,-0.547,-0.741
5695.24,0.425,-0.547,-0.741
5695.43,0.429,-0.552,-0.738
5695.61,0.429,-0.552,-0.738
5695.79,0.429,-0.552,-0.738
5695.97,0.429,-0.552,-0.738
5696.16,0.429,-0.552,-0.738
5696.34,0.427,-0.546,-0.741
5697.25,0.425,-0.547,-0.739
5697.43,0.425,-0.547,-0.739
5697.61,0.425,-0.547,-0.739
5697.8,0.425,-0.547,-0.739
5697.98,0.425,-0.547,-0.739
5698.16,0.425,-0.547,-0.739
5698.34,0.425,-0.546,-0.743
5698.53,0.425,-0.546,-0.743
5698.71,0.425,-0.546,-0.743
5698.89,0.425,-0.546,-0.743
5699.7,0.425,-0.546,-0.743
5701.81,0.426,-0.547,-0.738
5701.99,0.426,-0.547,-0.738
5702.17,0.426,-0.543,-0.739
5702.35,0.426,-0.543,-0.739
5702.54,0.426,-0.543,-0.739
5702.72,0.426,-0.543,-0.739
5702.9,0.426,-0.543,-0.739
5703.8,0.425,-0.542,-0.733
5703.27,0.425,-0.542,-0.733
5703.45,0.425,-0.542,-0.733
5705.45,0.426,-0.553,-0.741
5705.64,0.426,-0.553,-0.741
5705.82,0.426,-0.553,-0.741
5706.0,0.425,-0.548,-0.738
5706.18,0.425,-0.548,-0.738
5706.37,0.425,-0.548,-0.738
5706.55,0.425,-0.548,-0.738
5706.73,0.425,-0.548,-0.738
5706.91,0.419,-0.548,-0.741
5707.9,0.419,-0.548,-0.741
5707.28,0.419,-0.548,-0.741
5708.55,0.419,-0.546,-0.739
5708.74,0.419,-0.547,-0.739
5708.92,0.419,-0.547,-0.739
5709.1,0.419,-0.547,-0.739
5709.28,0.419,-0.547,-0.739
5709.46,0.419,-0.547,-0.739
5709.65,0.419,-0.547,-0.739
5709.83,0.423,-0.547,-0.737
5710.1,0.423,-0.547,-0.737
5710.19,0.423,-0.547,-0.737
5710.38,0.423,-0.547,-0.737
5710.56,0.423,-0.547,-0.737
5710.74,0.428,-0.546,-0.74
5710.92,0.428,-0.546,-0.74
5711.1,0.428,-0.546,-0.74
5711.29,0.428,-0.546,-0.74
5711.47,0.428,-0.546,-0.74
5711.65,0.427,-0.543,-0.735
5711.83,0.427,-0.543,-0.735
5712.2,0.427,-0.543,-0.735
5712.2,0.427,-0.543,-0.735
5712.38,0.427,-0.543,-0.735
5712.56,0.423,-0.545,-0.733
5713.84,0.422,-0.544,-0.735
5714.2,0.422,-0.544,-0.735
5714.2,0.422,-0.544,-0.735
5714.39,0.422,-0.544,-0.735
5714.57,0.419,-0.545,-0.738
5714.75,0.419,-0.545,-0.738
5714.93,0.419,-0.545,-0.738
5715.12,0.419,-0.545,-0.738
5715.3,0.419,-0.545,-0.738
5715.48,0.42,-0.544,-0.735
5715.66,0.42,-0.544,-0.735
5715.84,0.42,-0.544,-0.735
5716.3,0.42,-0.544,-0.735
5716.21,0.42,-0.544,-0.735
5716.39,0.426,-0.547,-0.739
5716.57,0.426,-0.547,-0.739
5716.76,0.426,-0.547,-0.739
5716.94,0.426,-0.547,-0.739
5717.12,0.426,-0.547,-0.739
5717.3,0.426,-0.547,-0.739
5717.49,0.424,-0.544,-0.737
5718.76,0.425,-0.546,-0.735
5719.31,0.424,-0.548,-0.733
5719.49,0.424,-0.548,-0.733
5719.67,0.424,-0.548,-0.733
5719.86,0.424,-0.548,-0.733
5720.4,0.424,-0.548,-0.733
5720.22,0.424,-0.548,-0.728
5721.13,0.424,-0.548,-0.728
5721.31,0.427,-0.547,-0.735
5721.5,0.427,-0.547,-0.735
5721.68,0.427,-0.547,-0.735
5721.86,0.427,-0.547,-0.735
5722.4,0.427,-0.547,-0.735
5722.22,0.424,-0.55,-0.732
5722.41,0.424,-0.55,-0.732
5722.59,0.424,-0.55,-0.732
5722.77,0.424,-0.55,-0.732
5722.95,0.424,-0.55,-0.732
5723.14,0.423,-0.552,-0.733
5723.32,0.423,-0.552,-0.733
5723.5,0.423,-0.552,-0.733
5723.68,0.423,-0.552,-0.733
5724.59,0.428,-0.55,-0.737
5724.78,0.428,-0.55,-0.737
5724.96,0.428,-0.55,-0.737
5725.14,0.425,-0.552,-0.739
5725.32,0.425,-0.552,-0.739
5725.51,0.425,-0.552,-0.739
5725.69,0.425,-0.552,-0.739
5725.87,0.425,-0.552,-0.739
5726.5,0.43,-0.553,-0.737
5726.23,0.43,-0.553,-0.737
5726.96,0.424,-0.554,-0.734
5727.15,0.424,-0.554,-0.734
5727.33,0.424,-0.554,-0.734
5727.51,0.424,-0.554,-0.734
5727.69,0.424,-0.554,-0.734
5727.88,0.426,-0.553,-0.732
5728.6,0.426,-0.553,-0.732
5728.24,0.426,-0.553,-0.732
5728.42,0.426,-0.553,-0.732
5728.61,0.426,-0.553,-0.732
5728.79,0.426,-0.553,-0.732
5728.97,0.426,-0.55,-0.735
5729.15,0.426,-0.55,-0.735
5729.33,0.426,-0.55,-0.735
5729.52,0.426,-0.55,-0.735
5729.7,0.426,-0.55,-0.735
5729.88,0.425,-0.55,-0.738
5730.6,0.425,-0.55,-0.738
5730.25,0.425,-0.55,-0.738
5730.43,0.425,-0.55,-0.738
5730.61,0.425,-0.55,-0.738
5730.79,0.425,-0.548,-0.738
5730.97,0.425,-0.548,-0.738
5731.16,0.425,-0.548,-0.738
5731.34,0.425,-0.548,-0.738
5731.52,0.425,-0.548,-0.738
5731.7,0.418,-0.544,-0.737
5731.89,0.418,-0.544,-0.737
5732.7,0.418,-0.544,-0.737
5732.25,0.418,-0.544,-0.737
5732.43,0.418,-0.544,-0.737
5732.62,0.418,-0.544,-0.737
5732.8,0.42,-0.545,-0.736
5732.98,0.42,-0.545,-0.736
5733.16,0.42,-0.545,-0.736
5733.34,0.42,-0.545,-0.736
5733.53,0.42,-0.545,-0.736
5733.71,0.42,-0.55,-0.735
5733.89,0.42,-0.55,-0.735
5734.7,0.42,-0.55,-0.735
5734.26,0.42,-0.55,-0.735
5734.44,0.42,-0.55,-0.735
5734.62,0.425,-0.55,-0.732
5734.8,0.425,-0.55,-0.732
5734.99,0.425,-0.55,-0.732
5735.17,0.425,-0.55,-0.732
5735.9,0.426,-0.545,-0.737
5736.8,0.426,-0.545,-0.737
5736.26,0.426,-0.545,-0.737
5736.44,0.426,-0.545,-0.737
5736.63,0.425,-0.55,-0.735
5736.81,0.425,-0.55,-0.735
5736.99,0.425,-0.55,-0.735
5737.17,0.425,-0.55,-0.735
5737.36,0.425,-0.55,-0.735
5737.54,0.424,-0.55,-0.739
5737.72,0.424,-0.55,-0.739
5737.9,0.424,-0.55,-0.739
5738.8,0.424,-0.55,-0.739
5738.27,0.424,-0.55,-0.739
5738.45,0.425,-0.549,-0.738
5738.63,0.425,-0.549,-0.738
