timestamp,altitude,azimuth,zenith,state
58112.48,0.04,0.032,0.013,MONITORING
58112.66,0.038,0.033,0.013,MONITORING
58112.84,0.041,0.033,0.018,MONITORING
58113.3,0.05,0.033,0.017,MONITORING
58113.21,0.069,0.033,0.025,MONITORING
58113.39,0.072,0.032,0.029,MONITORING
58113.57,0.071,0.032,0.037,MONITORING
58113.75,0.073,0.032,0.027,MONITORING
58113.94,0.07,0.031,0.033,MONITORING
58114.12,0.073,0.032,0.021,MONITORING
58114.3,0.057,0.032,0.024,MONITORING
58114.48,0.061,0.032,0.027,MONITORING
58114.67,0.053,0.033,0.022,MONITORING
58114.85,0.047,0.032,0.021,MONITORING
58115.3,0.044,0.032,0.015,MONITORING
58115.21,0.029,0.031,0.013,MONITORING
58115.39,0.019,0.032,0.011,MONITORING
58115.58,0.021,0.032,0.014,MONITORING
58115.76,0.012,0.031,0.011,MONITORING
58115.94,0.012,0.032,0.014,MONITORING
58116.12,0.018,0.032,0.01,MONITORING
58116.31,0.031,0.032,0.016,MONITORING
58116.49,0.033,0.032,0.019,MONITORING
58116.67,0.024,0.033,0.016,MONITORING
58116.85,0.033,0.033,0.012,MONITORING
58117.3,0.03,0.033,0.008,MONITORING
58117.22,0.033,0.033,0.013,MONITORING
58117.4,0.028,0.033,0.009,MONITORING
58117.58,0.027,0.033,0.014,MONITORING
58117.76,0.022,0.034,0.011,MONITORING
58117.95,0.033,0.034,0.015,MONITORING
58118.13,0.032,0.034,0.015,MONITORING
58118.31,0.031,0.034,0.013,MONITORING
58118.49,0.025,0.034,0.012,MONITORING
58118.68,0.024,0.033,0.009,MONITORING
58118.86,0.011,0.033,0.011,MONITORING
58119.4,0.004,0.033,0.014,MONITORING
58119.22,0.01,0.033,0.007,MONITORING
58119.4,0.01,0.033,0.008,MONITORING
58119.59,0.003,0.032,0.011,MONITORING
58119.77,0.001,0.032,0.011,MONITORING
58119.95,0.004,0.033,0.015,MONITORING
58120.13,0.002,0.033,0.007,MONITORING
58128.7,0.016,0.031,0.012,MONITORING
58128.88,0.025,0.031,0.014,MONITORING
58129.6,0.03,0.032,0.001,MONITORING
58129.24,0.021,0.032,0.017,MONITORING
58129.43,0.021,0.032,0.012,MONITORING
58129.61,0.015,0.032,0.011,MONITORING
58129.79,0.012,0.033,0.01,MONITORING
58129.97,0.002,0.033,0.017,MONITORING
58130.16,0.007,0.034,0.009,MONITORING
58130.34,0.001,0.033,0.015,MONITORING
58130.52,0.0,0.034,0.011,MONITORING
58140.91,0.003,0.035,0.015,MONITORING
58141.9,0.011,0.034,0.009,MONITORING
